"District","MK_Tau","MK_Z","MK_p_value","Sens_Slope","Intercept"
"Angul",25,0.450272708637345,0.652513815010041,0.53125,-960.31875
"Balasore",16,0.281370927556548,0.778425914188847,0.753125000000001,-1288.215625
"Bargarh",68,1.25871082508115,0.208134799990144,1.2,-2365.7
"Bhadrak",48,0.881628906343851,0.377977518007105,1.91722222222222,-3679.92722222222
"Balangir",22,0.393919298579168,0.693640621783759,0.355777777777778,-664.911333333333
"Boudh",69,1.27577267447248,0.202035889716724,1.53990384615385,-3019.82740384615
"Cuttack",50,0.919145030018058,0.358019718822816,1.73611111111111,-3332.68333333334
"Deogarh",110,2.04462874024425,0.0408914738277632,2.62380952380952,-5194.16666666666
"Dhenkanal",74,1.36933851410854,0.170893484254114,2.1147619047619,-4119.43857142857
"Gajapati",88,1.63195137982798,0.102689728987727,2.22780748663102,-4279.01497326203
"Ganjam",50,0.919145030018058,0.358019718822816,1.33214285714286,-2558.83928571429
"Jagatsinghpur",70,1.29430626676012,0.195559652706897,2.22,-4354.06
"Jajpur",70,1.29430626676012,0.195559652706897,2.4625,-4777.7625
"Jharsuguda",105,1.9511817374285,0.0510354306492175,1.83761904761905,-3636.75285714286
"Kalahandi",-8,-0.131306432859723,0.895532903167044,-0.239285714285714,551.696428571428
"Kandhamal",-36,-0.656532164298613,0.511481779449553,-0.714285714285714,1570.17142857143
"Kendrapara",114,2.11966098759266,0.0340346452378245,4.11638795986622,-8169.45284280937
"Keonjhar",80,1.48188688513115,0.138370395238992,2.24444444444445,-4354.08888888889
"Khordha",50,0.919145030018058,0.358019718822816,1.49377289377289,-2869.88351648352
"Koraput",78,1.44437076145695,0.148634710747773,2.54,-4987.90000000001
"Malkanagiri",78,1.44437076145695,0.148634710747773,2.10854978354978,-4161.28766233766
"Mayurbhanj",68,1.25679014308592,0.208829636238898,2.18473684210526,-4198.05842105263
"Nawarangpur",56,1.03169340104068,0.302215769747998,1.58755980861244,-3075.44449760766
"Nayagarh",61,1.12568177159336,0.260300242104171,1.30694444444444,-2484.52361111111
"Nuapada",36,0.656532164298613,0.511481779449553,0.806521739130435,-1565.42391304348
"Puri",10,0.168822556533929,0.865936215436343,0.425,-755.225
"Rayagada",64,1.1817578957375,0.23730177865,2.01944444444444,-3928.84166666666
"Sambalpur",154,2.86998346107679,0.00410493269257186,2.3025,-4579.305
"Subarnapur",32,0.5814999169502,0.560903574193679,0.686875,-1323.074375
"Sundargarh",74,1.36933851410854,0.170893484254114,1.51865079365079,-2987.53055555556
