District,Slope,Intercept
Ang,1.78,-2264.12
Bal,1.38,-1562.48
Bala,-11.81,25421.66
Barg,7.09,-12984.31
Bhad,-0.69,2843.00
Bou,13.97,-26734.37
Cut,5.87,-10218.51
Deo,14.13,-27040.31
Dhen,3.01,-4648.11
Gaj,9.01,-16706.88
Gan,2.18,-3074.09
Jaga,4.65,-7869.50
Jaj,0.24,1096.57
Jhar,13.11,-24998.74
Kala,0.48,581.60
Kand,-1.75,5122.15
Kend,4.37,-7266.08
Keon,9.10,-16885.51
Kho,1.19,-942.99
Kor,17.16,-32945.65
Malk,18.88,-36342.42
Mayu,3.41,-5324.15
Nawa,5.81,-10074.76
Naya,4.69,-7999.41
Nua,10.40,-19756.45
Puri,-3.36,8202.85
Ray,6.53,-11843.41
Sam,10.45,-19550.74
Sub,6.45,-11609.72
Sun,4.53,-7787.00
